Tipo de Mapa;Clave;Presencia;Factor de Carga;Tiempo
Cuadratic Probing;UserID;Almacenados;0.569017;0.308854
Cuadratic Probing;UserID;No almacenados;0.569017;0.423937
Double Hashing;UserID;Almacenados;0.569017;0.180304
Double Hashing;UserID;No almacenados;0.569017;0.317224
STL;UserID;Almacenados;0.569017;0.178516
STL;UserID;No almacenados;0.569017;1.95567
Hashing Encadenado;UserID;Almacenados;0.616435;0.099905
Hashing Encadenado;UserID;No almacenados;0.616435;0.120142
Linear Probing;UserID;Almacenados;0.616435;0.308946
Linear Probing;UserID;No almacenados;0.616435;0.443287
Cuadratic Probing;UserID;Almacenados;0.616435;0.266875
Cuadratic Probing;UserID;No almacenados;0.616435;0.515145
Double Hashing;UserID;Almacenados;0.616435;0.188879
Double Hashing;UserID;No almacenados;0.616435;0.351099
STL;UserID;Almacenados;0.616435;0.180171
STL;UserID;No almacenados;0.616435;1.98175
Hashing Encadenado;UserID;Almacenados;0.663853;0.112244
Hashing Encadenado;UserID;No almacenados;0.663853;0.120641
Linear Probing;UserID;Almacenados;0.663853;0.278012
Linear Probing;UserID;No almacenados;0.663853;0.483044
Cuadratic Probing;UserID;Almacenados;0.663853;0.283867
Cuadratic Probing;UserID;No almacenados;0.663853;0.47642
Double Hashing;UserID;Almacenados;0.663853;0.196404
Double Hashing;UserID;No almacenados;0.663853;0.387763
STL;UserID;Almacenados;0.663853;0.191783
STL;UserID;No almacenados;0.663853;1.99217
Hashing Encadenado;UserID;Almacenados;0.711271;0.106232
Hashing Encadenado;UserID;No almacenados;0.711271;0.125905
Linear Probing;UserID;Almacenados;0.711271;0.281629
Linear Probing;UserID;No almacenados;0.711271;0.556291
Cuadratic Probing;UserID;Almacenados;0.711271;0.296631
Cuadratic Probing;UserID;No almacenados;0.711271;0.568871
Double Hashing;UserID;Almacenados;0.711271;0.201226
Double Hashing;UserID;No almacenados;0.711271;0.369706
STL;UserID;Almacenados;0.711271;0.188294
STL;UserID;No almacenados;0.711271;1.96175
Hashing Encadenado;UserID;Almacenados;0.758689;0.130274
Hashing Encadenado;UserID;No almacenados;0.758689;0.137074
Linear Probing;UserID;Almacenados;0.758689;0.453137
Linear Probing;UserID;No almacenados;0.758689;0.644885
Cuadratic Probing;UserID;Almacenados;0.758689;0.304311
Cuadratic Probing;UserID;No almacenados;0.758689;0.643176
Double Hashing;UserID;Almacenados;0.758689;0.20987
Double Hashing;UserID;No almacenados;0.758689;0.396394
STL;UserID;Almacenados;0.758689;0.193006
STL;UserID;No almacenados;0.758689;1.90232
Hashing Encadenado;UserID;Almacenados;0.806107;0.107384
Hashing Encadenado;UserID;No almacenados;0.806107;0.124348
Linear Probing;UserID;Almacenados;0.806107;0.324183
Linear Probing;UserID;No almacenados;0.806107;0.717817
Cuadratic Probing;UserID;Almacenados;0.806107;0.311437
Cuadratic Probing;UserID;No almacenados;0.806107;0.732318
Double Hashing;UserID;Almacenados;0.806107;0.212079
Double Hashing;UserID;No almacenados;0.806107;0.437937
STL;UserID;Almacenados;0.806107;0.195723
STL;UserID;No almacenados;0.806107;1.91457
Hashing Encadenado;UserID;Almacenados;0.853526;0.108308
Hashing Encadenado;UserID;No almacenados;0.853526;0.128136
Linear Probing;UserID;Almacenados;0.853526;0.359747
Linear Probing;UserID;No almacenados;0.853526;0.923259
Cuadratic Probing;UserID;Almacenados;0.853526;0.337738
Cuadratic Probing;UserID;No almacenados;0.853526;0.83234
Double Hashing;UserID;Almacenados;0.853526;0.220116
Double Hashing;UserID;No almacenados;0.853526;0.507425
STL;UserID;Almacenados;0.853526;0.197993
STL;UserID;No almacenados;0.853526;2.06979
Hashing Encadenado;UserID;Almacenados;0.900944;0.105175
Hashing Encadenado;UserID;No almacenados;0.900944;0.147148
Linear Probing;UserID;Almacenados;0.900944;0.350934
Linear Probing;UserID;No almacenados;0.900944;1.16
Cuadratic Probing;UserID;Almacenados;0.900944;0.339162
Cuadratic Probing;UserID;No almacenados;0.900944;1.04083
Double Hashing;UserID;Almacenados;0.900944;0.230273
Double Hashing;UserID;No almacenados;0.900944;0.647724
STL;UserID;Almacenados;0.900944;0.232927
STL;UserID;No almacenados;0.900944;1.9721
Hashing Encadenado;UserID;Almacenados;0.948362;0.112268
Hashing Encadenado;UserID;No almacenados;0.948362;0.127798
Linear Probing;UserID;Almacenados;0.948362;0.493263
Linear Probing;UserID;No almacenados;0.948362;1.59462
Cuadratic Probing;UserID;Almacenados;0.948362;0.432323
Cuadratic Probing;UserID;No almacenados;0.948362;1.40216
Double Hashing;UserID;Almacenados;0.948362;0.263677
Double Hashing;UserID;No almacenados;0.948362;0.843538
STL;UserID;Almacenados;0.948362;0.206794
STL;UserID;No almacenados;0.948362;1.94656
Hashing Encadenado;UserID;Almacenados;0.999099;0.110587
Hashing Encadenado;UserID;No almacenados;0.999099;0.125078
Linear Probing;UserID;Almacenados;0.999099;0.480384
Linear Probing;UserID;No almacenados;0.999099;2.51366
Cuadratic Probing;UserID;Almacenados;0.999099;0.50028
Cuadratic Probing;UserID;No almacenados;0.999099;2.36449
Double Hashing;UserID;Almacenados;0.999099;0.293629
Double Hashing;UserID;No almacenados;0.999099;1.40518
STL;UserID;Almacenados;0.999099;0.210122
STL;UserID;No almacenados;0.999099;1.98952
Hashing Encadenado;Username;Almacenados;0.0474181;0.217023
Hashing Encadenado;Username;No almacenados;0.0474181;0.336685
Linear Probing;Username;Almacenados;0.0474181;0.335704
Linear Probing;Username;No almacenados;0.0474181;0.568841
Cuadratic Probing;Username;Almacenados;0.0474181;0.337463
Cuadratic Probing;Username;No almacenados;0.0474181;0.520716
Double Hashing;Username;Almacenados;0.0474181;0.398335
