Tipo de Mapa;Clave;Número de Elementos;Tiempo
Quadratic Probing;Username;14000;7.35553
Double Hashing;Username;14000;8.93323
STL;Username;14000;4.92853
Separate Chaining;Username;15000;4.72941
Linear Probing;Username;15000;8.22434
Quadratic Probing;Username;15000;8.19214
Double Hashing;Username;15000;9.98187
STL;Username;15000;5.25918
Separate Chaining;Username;16000;5.06761
Linear Probing;Username;16000;8.82539
Quadratic Probing;Username;16000;8.94694
Double Hashing;Username;16000;10.5051
STL;Username;16000;5.66303
Separate Chaining;Username;17000;5.37452
Linear Probing;Username;17000;9.3007
Quadratic Probing;Username;17000;9.46478
Double Hashing;Username;17000;11.2894
STL;Username;17000;6.03663
Separate Chaining;Username;18000;5.90584
Linear Probing;Username;18000;10.5275
Quadratic Probing;Username;18000;10.4767
Double Hashing;Username;18000;12.1871
STL;Username;18000;6.26884
Separate Chaining;Username;19000;6.11535
Linear Probing;Username;19000;11.35
Quadratic Probing;Username;19000;11.3647
Double Hashing;Username;19000;13.5826
STL;Username;19000;7.4585
Separate Chaining;Username;20000;6.54989
Linear Probing;Username;20000;12.178
Quadratic Probing;Username;20000;12.3183
Double Hashing;Username;20000;14.3394
STL;Username;20000;6.91601
Separate Chaining;Username;21070;6.86812
Linear Probing;Username;21070;14.2094
Quadratic Probing;Username;21070;13.9994
Double Hashing;Username;21070;16.3766
STL;Username;21070;7.56533
Separate Chaining;UserID;1000;0.250363
Linear Probing;UserID;1000;0.307534
Quadratic Probing;UserID;1000;0.284295
Double Hashing;UserID;1000;0.260508
STL;UserID;1000;0.367821
Separate Chaining;UserID;2000;0.382407
Linear Probing;UserID;2000;0.617207
Quadratic Probing;UserID;2000;0.571476
Double Hashing;UserID;2000;0.510869
STL;UserID;2000;0.698257
Separate Chaining;UserID;3000;0.749386
Linear Probing;UserID;3000;0.938603
Quadratic Probing;UserID;3000;0.877611
Double Hashing;UserID;3000;0.808443
STL;UserID;3000;1.14454
Separate Chaining;UserID;4000;0.719032
Linear Probing;UserID;4000;1.24283
Quadratic Probing;UserID;4000;1.23127
Double Hashing;UserID;4000;1.30945
STL;UserID;4000;1.39375
Separate Chaining;UserID;5000;0.889649
Linear Probing;UserID;5000;1.58798
Quadratic Probing;UserID;5000;1.61869
Double Hashing;UserID;5000;1.46333
STL;UserID;5000;1.71541
Separate Chaining;UserID;6000;1.08958
Linear Probing;UserID;6000;1.9651
Quadratic Probing;UserID;6000;1.85964
Double Hashing;UserID;6000;1.91385
STL;UserID;6000;2.20249
Separate Chaining;UserID;7000;1.39439
Linear Probing;UserID;7000;2.34538
Quadratic Probing;UserID;7000;2.33439
Double Hashing;UserID;7000;2.21792
STL;UserID;7000;2.61452
Separate Chaining;UserID;8000;1.41102
Linear Probing;UserID;8000;2.68592
Quadratic Probing;UserID;8000;2.66045
Double Hashing;UserID;8000;2.61961
STL;UserID;8000;2.99292
Separate Chaining;UserID;9000;1.65782
Linear Probing;UserID;9000;3.0847
Quadratic Probing;UserID;9000;2.98134
Double Hashing;UserID;9000;3.05477
STL;UserID;9000;3.28549
Separate Chaining;UserID;10000;1.7521
Linear Probing;UserID;10000;3.38238
Quadratic Probing;UserID;10000;3.39235
Double Hashing;UserID;10000;3.45441
STL;UserID;10000;3.60559
Separate Chaining;UserID;11000;1.98835
Linear Probing;UserID;11000;3.79099
Quadratic Probing;UserID;11000;3.8202
Double Hashing;UserID;11000;3.93159
STL;UserID;11000;4.36768
Separate Chaining;UserID;12000;2.07907
Linear Probing;UserID;12000;4.14743
Quadratic Probing;UserID;12000;4.25854
Double Hashing;UserID;12000;4.30871
STL;UserID;12000;4.69881
Separate Chaining;UserID;13000;2.25085
Linear Probing;UserID;13000;4.6441
Quadratic Probing;UserID;13000;4.69633
Double Hashing;UserID;13000;4.75115
STL;UserID;13000;4.92044
